"","AVG_time_QE","MIN_QW_QE","MAX_QW_QE","MEAN_QW_QE","MEDIAN_QW_QE","NUMFAIL_QE","NUMMAX_QE","MODULES_QE","UniqueConfigs_QE","QR_QE"
"Safariland",0.34721,0.429215287023259,0.430409585715404,0.430139337457906,0.430155846189991,0,35,5,1,0.978761061946903
"barrett1987",1.88898,0.566945454545455,0.568813223140496,0.567699933884298,0.567679338842976,0,3,7,1,0.534545454545454
"bezerra2009",0.189899999999993,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0,100,5,1,-0.139172335600907
"elberling1999",10.3621,0.493302156262568,0.516814485067045,0.505320848870739,0.505576423590043,0,1,12,1,0.268929503916449
"inouye1988",15.78528,0.596901085695791,0.618821702265395,0.608117524420053,0.608350898983926,0,1,14,1,0.581905414667581
"junker2013",102.63512,0.553292208862984,0.566106976336494,0.558684658166472,0.558499535823552,0,1,16,1,0.587946282345234
"kato1990",1000.36474,0.614033609803021,0.631908654545244,0.62078512299918,0.620054235970512,0,1,20,1,-0.967391304347826
"kevan1970",4.52518,0.530759344588642,0.536330444806707,0.534611726692313,0.534659805964279,0,5,5,1,0.674990091161316
"memmott1999",3.41984999999997,0.300231099054053,0.304565806363209,0.303646343533686,0.303770295136554,0,2,6,1,0.306459001374256
"mosquin1967",0.252169999999933,0.440242815771887,0.44380708398307,0.443075852082869,0.44380708398307,0,60,6,1,0.477611940298508
"motten1982",0.434120000000021,0.378743693978033,0.381878449690696,0.381784407019316,0.381878449690696,0,97,4,1,0.354606741573034
"olesen2002aigrettes",0.116620000000003,0.259435976036505,0.259435976036505,0.259435976036505,0.259435976036505,0,100,5,1,0.148148148148148
"olesen2002flores",0.0845499999999629,0.496934837253078,0.496934837253078,0.496934837253078,0.496934837253078,0,100,5,1,0.402985074626866
"ollerton2003",0.586640000000043,0.412231178224444,0.412687480869299,0.412636153907198,0.412687480869299,0,88,6,1,0.498316498316498
"schemske1978",0.0108799999999792,0.319940492835651,0.319940492835651,0.319940492835651,0.319940492835651,0,100,4,1,0.377926421404682
"small1976",1.05709000000032,0.51594002016129,0.525243276860041,0.516705864659209,0.51594002016129,0,1,7,1,0.387096774193548
"vazarr",0.359279999999999,0.440882269770949,0.442405504760109,0.442083513997549,0.442405504760109,0,60,6,1,0.456310679611651
"vazcer",0.389310000000223,0.591437824833874,0.603535682826418,0.601805417690124,0.603535682826418,0,60,6,1,0.869494290375204
"vazllao",0.417640000000101,0.560357297923545,0.561321670677614,0.561122643341356,0.561184214832577,0,34,6,1,0.624815361890694
"vazmasc",0.301259999999929,0.654897550002445,0.663443200156487,0.663001369260111,0.663443200156487,0,62,6,1,0.769230769230769
"vazmasnc",0.335149999999885,0.400136567361948,0.401097955164896,0.400447557939574,0.400181058145585,0,20,6,1,0.499304589707928
"vazquec",0.350299999999697,0.504248653214025,0.511310719503287,0.506405593727173,0.504248653214025,0,14,6,1,0.581081081081081
"vazquenc",0.00615999999987252,0.450468900281634,0.450468900281634,0.450468900281634,0.450468900281634,0,100,4,1,0.963206307490144
