"","minNMI_B_QB_LP","maxNMI_B_QB_LP","minNMI_B_QB_EX","maxNMI_B_QB_EX","minNMI_B_LP_EX","maxNMI_B_LP_EX"
"1",0.912117098493726,0.912117098493726,1,1,0.912117098493726,0.912117098493726
"2",0.487704980946155,0.487704980946155,0.456383162352409,0.456383162352409,0.917485716180046,0.917485716180046
"3",0.580593248737614,0.580593248737614,1,1,0.580593248737614,0.580593248737614
"4",0.442856498493999,0.443853655584443,0.413910583048321,0.413910583048321,0.824705964855303,0.831581406840202
"5",0.66700263166506,0.66700263166506,0.677588632095612,0.677588632095612,0.560991971189463,0.560991971189463
"6",0.269429395578967,0.278178054187863,0.14856247790794,0.14856247790794,0.782013106014699,0.789789311062009
"7",0.080495047829468,0.0805600769866787,0.0523440900262825,0.0523440900262825,0.751168861705108,0.757546015534056
"8",0.58434346571048,0.600713230036515,0.673887692215137,0.673887692215137,0.61639195424141,0.632167550103872
"9",0.479554140375133,0.484727436283842,0.605091216515481,0.605091216515481,0.550141266356371,0.557161855431126
"10",0.843785508025899,0.843785508025899,1,1,0.843785508025899,0.843785508025899
"11",0.788460302020327,0.788460302020327,1,1,0.788460302020327,0.788460302020327
"12",0.812449943152132,0.812449943152132,1,1,0.812449943152132,0.812449943152132
"13",0.770561097231166,0.785295441577585,1,1,0.770561097231166,0.785295441577585
"14",0.9090725315065,0.9090725315065,1,1,0.9090725315065,0.9090725315065
"15",1,1,1,1,1,1
"16",0.438930680544333,0.438930680544333,1,1,0.438930680544333,0.438930680544333
"17",0.931874884219745,0.931874884219745,1,1,0.931874884219745,0.931874884219745
"18",0.92592154034563,0.92592154034563,1,1,0.92592154034563,0.92592154034563
"19",0.936933771543301,0.936933771543301,1,1,0.936933771543301,0.936933771543301
"20",0.93660466380754,0.93660466380754,0.924939818919618,1,0.93660466380754,0.93660466380754
"21",0.908403672594971,0.944146386284545,1,1,0.908403672594971,0.944146386284545
"22",0.833799223831459,0.833799223831459,1,1,0.833799223831459,0.833799223831459
"23",0.917529851638268,0.917529851638268,1,1,0.917529851638268,0.917529851638268
